,colsample_bytree,learning_rate,max_depth,num_iterations,num_leaves,reg_lambda,subsample,loss,trial_number,corr
0,0.8446105613489479,1.516037222881044,19,356,19,0.649004380151022,0.725267081777498,-0.0031752174458214637,0,0.0031752174458214637
1,0.9575422416228703,0.9858079580197413,17,203,15,2.9267325224266347,0.8339864507209195,-0.022394931809237368,1,0.022394931809237368
2,0.9073245190249477,0.8362765112862323,6,154,11,2.8689492539762513,0.8105926533316665,-0.03382063418707294,2,0.03382063418707294
3,0.8664161043442461,0.9168628833777275,18,52,5,2.207525028325903,0.6819116285630129,-0.020529796119179083,3,0.020529796119179083
4,0.7703319829656425,1.5182275657990332,3,332,17,3.6576917970389737,0.7229765352254127,-0.006170008404626872,4,0.006170008404626872
5,0.6262805147261987,1.713234310350099,8,140,8,3.797089793388509,0.6028733383034375,-0.01885544573360418,5,0.01885544573360418
6,0.7423561151645492,0.8944827583883315,5,141,3,2.7054132520164353,0.9919497515334139,-0.007076260824923505,6,0.007076260824923505
7,0.7875512057359588,0.354652643230375,5,102,14,3.817660674195524,0.9299723490982507,-0.01262322717928964,7,0.01262322717928964
8,0.6478723470792379,1.6494970142088505,8,286,6,0.09249351169635933,0.7893700279731181,0.005782737742312055,8,-0.005782737742312055
9,0.8379339962689977,1.355074367812059,16,288,8,1.4784215324949024,0.611987649509197,-0.0017710999247193833,9,0.0017710999247193833
10,0.7845177051618343,0.3210984562152135,18,375,8,4.376039748374906,0.9140661319800746,-0.008728908058137497,10,0.008728908058137497
11,0.9991476527342962,1.7146261660592745,7,63,15,1.6034064002768322,0.9274413082366693,0.015272115815263854,11,-0.015272115815263854
12,0.6260767773103055,0.1568081747539931,9,32,8,4.684887163194527,0.7671876622237839,-0.01560548910795904,12,0.01560548910795904
13,0.7758514131290258,1.0134267406308861,9,174,15,0.306482801482702,0.8352386711639322,-0.0012975391395993012,13,0.0012975391395993012
14,0.9195300743574283,1.266766488580434,11,264,17,3.8753589888359135,0.8071714630938983,0.007391478120042934,14,-0.007391478120042934
15,0.6425070623231415,1.4486515646090459,4,212,3,2.26353895678421,0.6236727978572097,0.015619074249002737,15,-0.015619074249002737
16,0.8782696264504914,1.0624672393664962,7,275,10,1.5499855939174227,0.9351443807004602,-0.008853081351450664,16,0.008853081351450664
17,0.8811842113495041,0.6549362916975967,4,123,13,4.583040215255733,0.6533127797947578,0.010504715578069498,17,-0.010504715578069498
18,0.9562354725087239,1.1366799495414577,12,200,19,1.3411570371985415,0.7324643013219905,0.0041984710251774535,18,-0.0041984710251774535
19,0.6802402877526121,0.2393200908524456,4,14,19,4.053541981636967,0.6378810686927792,0.008985595392038205,19,-0.008985595392038205
20,0.9820536018901928,1.9877773369569152,14,238,11,3.051613775687413,0.8663991737703868,-0.007613759923917724,20,0.007613759923917724
21,0.9339134345092963,0.6225959698880976,1,171,12,3.1904107842749925,0.8582011171720654,-0.015104909521697666,21,0.015104909521697666
22,0.9158090292791732,0.7188017080028696,14,80,17,3.1252288444652803,0.8854259652053773,-0.0007154339963410297,22,0.0007154339963410297
23,0.9645239508103128,0.5516105984678896,13,228,10,2.5549228633095913,0.9895710635450775,-0.00979508027382973,23,0.00979508027382973
24,0.9986358678482166,0.010885209126777706,16,182,12,1.9784261604181737,0.8326207400411803,-0.005637069531267364,24,0.005637069531267364
25,0.8203505096127331,0.7793072024201739,11,103,14,3.4436688604831454,0.7668132937479122,-0.0002448048509493455,25,0.0002448048509493455
26,0.9107642582634037,0.47567426553803205,1,159,18,1.0144298308309472,0.9625067854213774,-0.008388042288877464,26,0.008388042288877464
27,0.9488204168883474,1.1961607477203717,6,250,11,2.8605338080447185,0.898270005430583,0.011852536221345964,27,-0.011852536221345964
28,0.7256050110655783,0.8258979827807033,20,214,16,2.00392618700624,0.7215509032009773,-0.0010125807540048374,28,0.0010125807540048374
29,0.8937180782552742,1.9251818746249136,3,322,13,2.433183715708895,0.835955142364176,0.011110617397437022,29,-0.011110617397437022
30,0.8527895413028024,0.9129591957264891,10,395,10,3.386686666005281,0.6827672234561811,-0.0009262125938201705,30,0.0009262125938201705
31,0.8124735559656194,0.4601483538645993,19,107,11,1.8324846057869388,0.8046833866637793,-0.006543766124352541,31,0.006543766124352541
32,0.9740322322640275,1.3437803735754597,16,325,5,0.862681252845332,0.7520723161920063,-0.012643043559882433,32,0.012643043559882433
33,0.8485432996579069,0.9735788312324025,3,145,18,4.9290499133143575,0.6952153953119778,0.008081680510977607,33,-0.008081680510977607
34,0.8997424354188759,1.1149789133832966,6,194,16,4.232804521973103,0.8674245776374423,0.001940720899882895,34,-0.001940720899882895
35,0.9367927156776533,1.5730468334327226,12,301,9,2.803558767420663,0.7907991028450202,-0.004317698060552815,35,0.004317698060552815
36,0.7509454727272703,0.8326644793003704,10,80,18,3.526406643706754,0.9588880337391705,-0.008897174910594574,36,0.008897174910594574
37,0.8644348135689481,1.8566177411302895,15,150,5,2.320878935065384,0.8910011530607047,0.00041092340203232057,37,-0.00041092340203232057
38,0.9996232626660049,0.023449383299192772,13,129,2,2.6277782826945932,0.7049345794589007,-0.0005249925754866267,38,0.0005249925754866267
39,0.8188307369008432,1.259676910573525,17,49,14,3.664915824923483,0.8128878973796019,0.021504061031591484,39,-0.021504061031591484
40,0.9829557604625639,1.4516442767032718,8,359,15,1.2184903071093418,0.7749872683700407,0.0029382116114762533,40,-0.0029382116114762533
41,0.7224322477989165,0.3953184915829243,19,234,9,0.45875431728569227,0.7420321744433843,0.005387358621185038,41,-0.005387358621185038
